id,filename,style,caption,source,author,licence,collection_date,permitted_use,width,height,sha256,split,notes
DS-0020,geo-1019.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 6 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,a3ed02ec548c911951d0931acc7c64c1fc799eef5f700717d2aaa2c73378a80f,train,"generated by ml/dataset/generate_geometric.py (seed=1019, palette_index=0, shape_count=6, version=1.0)"
DS-0021,geo-1020.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 4 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,eb4e10336f3bcab8a6f7e5845f8c4ad194f61f6f6640ba20a48807602baad61e,val,"generated by ml/dataset/generate_geometric.py (seed=1020, palette_index=0, shape_count=4, version=1.0)"
DS-0022,geo-1021.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 8 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,4772a5cdb571dfe5f08f10fce0cb645e29384ee5aefdf6c552416a39952bf86c,val,"generated by ml/dataset/generate_geometric.py (seed=1021, palette_index=4, shape_count=8, version=1.0)"
DS-0023,geo-1022.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 7 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,a84060360efa3f96dc16592b2e8b6e0252a15799382a3666d9ace60119687609,train,"generated by ml/dataset/generate_geometric.py (seed=1022, palette_index=1, shape_count=7, version=1.0)"
DS-0024,geo-1023.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 9 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,17890b5487f8bd71f9d25823a80475f3c70f4a0e5879dfc638394261d08e29e6,train,"generated by ml/dataset/generate_geometric.py (seed=1023, palette_index=3, shape_count=9, version=1.0)"
DS-0025,geo-1024.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 7 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,030b3eb14c60a4361c5b83995dd6157b4c7afa0e63b243920367bc0d2ff9f914,train,"generated by ml/dataset/generate_geometric.py (seed=1024, palette_index=0, shape_count=7, version=1.0)"
DS-0026,geo-1025.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 4 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,329608824f7b0afd9beb4499bf79ea09331703a61c7d1127069ce280982c9c69,val,"generated by ml/dataset/generate_geometric.py (seed=1025, palette_index=1, shape_count=4, version=1.0)"
DS-0027,geo-1026.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 7 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,4dcef61858abe29b7422d64d3bb22a59ab05e450c4d3c50339ae04653d698099,train,"generated by ml/dataset/generate_geometric.py (seed=1026, palette_index=0, shape_count=7, version=1.0)"
DS-0028,geo-1027.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 4 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,e51d8146d73a5713c055e66659185cecdf6a09c3f15fa1179547f6963b1e039a,train,"generated by ml/dataset/generate_geometric.py (seed=1027, palette_index=0, shape_count=4, version=1.0)"
DS-0029,geo-1028.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 8 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,b53125b75604545285110fc20a4ee26487cf430d80deff288a695cf36d5f97b9,val,"generated by ml/dataset/generate_geometric.py (seed=1028, palette_index=3, shape_count=8, version=1.0)"
DS-0030,geo-1029.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 6 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,6747f4bd5fd9890c37ed375795d9c553533c0e94138dbd6d7dc9f9ae3a603612,train,"generated by ml/dataset/generate_geometric.py (seed=1029, palette_index=4, shape_count=6, version=1.0)"
DS-0031,geo-1030.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 7 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,740813769764ef40d9523f1d1cc43239fd60d83c62e2906ab4ce9bf3673b6396,train,"generated by ml/dataset/generate_geometric.py (seed=1030, palette_index=0, shape_count=7, version=1.0)"
DS-0032,geo-1031.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 8 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,8e8c403513add88aa6640ce6bbb670bbe86dbd105b41a392a8fee19a421e450f,train,"generated by ml/dataset/generate_geometric.py (seed=1031, palette_index=5, shape_count=8, version=1.0)"
DS-0033,geo-1032.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 9 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,deb302fcb0371e5a48e2eb0cbb193418fd92cb3570959e860dd9f65ff8e9996f,train,"generated by ml/dataset/generate_geometric.py (seed=1032, palette_index=3, shape_count=9, version=1.0)"
DS-0034,geo-1033.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 5 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,41dab17bace7a296fd1bb6be014d7f84da5c3762fa079397f07f0aea6c382aef,train,"generated by ml/dataset/generate_geometric.py (seed=1033, palette_index=5, shape_count=5, version=1.0)"
DS-0035,geo-1034.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 9 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,0192b89f66a81deb957d9c9665f9ea4a323a838f85d36b91bb74856541a34db9,train,"generated by ml/dataset/generate_geometric.py (seed=1034, palette_index=0, shape_count=9, version=1.0)"
DS-0036,geo-1035.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 7 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,87145faad6fed5727cfaa587a56c108aff6ed71434b66d7912b4139268eb601f,val,"generated by ml/dataset/generate_geometric.py (seed=1035, palette_index=5, shape_count=7, version=1.0)"
DS-0037,geo-1036.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 9 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,8fe7c6bcd7a79253350e6c0f9610f4a5edbdb0975528aaca794c98429ae03378,train,"generated by ml/dataset/generate_geometric.py (seed=1036, palette_index=3, shape_count=9, version=1.0)"
DS-0038,geo-1037.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 7 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,12de7234a9d49694c87eaf47cfdca26932147fe6125c735ae716e4a11da43a77,train,"generated by ml/dataset/generate_geometric.py (seed=1037, palette_index=0, shape_count=7, version=1.0)"
DS-0039,geo-1038.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 4 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,8f15da8aa54b2515493688e67fb46745eab60f78c190bb703c682c2f221d4a78,train,"generated by ml/dataset/generate_geometric.py (seed=1038, palette_index=0, shape_count=4, version=1.0)"
DS-0040,geo-1039.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 9 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,8aad097e3bd76787c1f6c18cf45f049833170609131706adc91a3de3d4666a3e,train,"generated by ml/dataset/generate_geometric.py (seed=1039, palette_index=5, shape_count=9, version=1.0)"
DS-0041,geo-1040.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 5 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,c5bf56f42d5f6b56e07030ca491d6671a2b18cd92ed0c09bc64e805b948a71ff,train,"generated by ml/dataset/generate_geometric.py (seed=1040, palette_index=2, shape_count=5, version=1.0)"
DS-0042,geo-1041.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 5 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,c2e04ef136b65f8550097fa6ba062fed1b061d92e9a02eca6399142ae2c2ceb2,train,"generated by ml/dataset/generate_geometric.py (seed=1041, palette_index=3, shape_count=5, version=1.0)"
DS-0043,geo-1042.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 5 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,88649f5122dffe3c1b8954ef9079f6f343897cc59f0d8bdbb84fa4e3abfec0e7,train,"generated by ml/dataset/generate_geometric.py (seed=1042, palette_index=1, shape_count=5, version=1.0)"
DS-0044,geo-1043.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 6 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,d371557cff608bc601a2827b5443bce75a185906a256278c340ed0b7c517cb5a,val,"generated by ml/dataset/generate_geometric.py (seed=1043, palette_index=4, shape_count=6, version=1.0)"
DS-0045,geo-1044.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 6 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,2e35a147f1b60aa53021685432a796c645e79078c0958e019a0d0147b0518962,train,"generated by ml/dataset/generate_geometric.py (seed=1044, palette_index=1, shape_count=6, version=1.0)"
DS-0046,geo-1045.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 4 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,d139a2fcf35753284e07d45d20f53d16b7220eff42faeeeb98591ac0d366ed61,train,"generated by ml/dataset/generate_geometric.py (seed=1045, palette_index=5, shape_count=4, version=1.0)"
DS-0047,geo-1046.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 8 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,21d0e82422fe78dbb1b5ecbe8f9e74cc9bd392528712bccd90395476a3371662,train,"generated by ml/dataset/generate_geometric.py (seed=1046, palette_index=3, shape_count=8, version=1.0)"
DS-0048,geo-1047.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 6 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,af49e3fb28a0582b9b651253dbdcb6b05822015e1936a4042fa6c041409d6c50,holdout,"generated by ml/dataset/generate_geometric.py (seed=1047, palette_index=0, shape_count=6, version=1.0)"
DS-0049,geo-1048.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 6 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,209ca203f60a4f566b8d89f75aaaec952f4180cce3e0700c3ccef6560e3e3916,train,"generated by ml/dataset/generate_geometric.py (seed=1048, palette_index=2, shape_count=6, version=1.0)"
DS-0050,geo-1049.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 9 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,7e0810781f76c6b56e7ef344c29500bb3f8cac85887dc04ba626a3fa41e99554,train,"generated by ml/dataset/generate_geometric.py (seed=1049, palette_index=5, shape_count=9, version=1.0)"
DS-0051,geo-1050.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 8 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,542d1e074160fbb374426d108500e28a793f2a80509a66484510c8549ac4a379,train,"generated by ml/dataset/generate_geometric.py (seed=1050, palette_index=2, shape_count=8, version=1.0)"
DS-0052,geo-1051.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 9 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,e8b5c4cb6bf74dc5e56c7aa54e994c90de0ae2665c5327d5cfcca5af227704ba,train,"generated by ml/dataset/generate_geometric.py (seed=1051, palette_index=0, shape_count=9, version=1.0)"
DS-0053,loc-2001695228.jpg,retro-comic,"retro comic poster style skateboard decal artwork, carmen municipal auditorium long beach",https://www.loc.gov/item/2001695228/,,public domain,2026-07-27,"unrestricted (US WPA poster, LOC: no known restrictions)",512,640,f3fde6aa6a0e3dd554ddee96bfbcf270e83c9460959dab41a2e1f82801e6e634,train,Library of Congress WPA posters collection
DS-0054,loc-92500652.jpg,retro-comic,"retro comic poster style skateboard decal artwork, alien corn by sidney howard",https://www.loc.gov/item/92500652/,,public domain,2026-07-27,"unrestricted (US WPA poster, LOC: no known restrictions)",700,1024,80bb4f44687a799ed0089d922292b8bc06d7c150438f98f6c0e26a1bf2efab7f,train,Library of Congress WPA posters collection
DS-0055,loc-98507320.jpg,retro-comic,"retro comic poster style skateboard decal artwork, the alarm clock by avery hopwood",https://www.loc.gov/item/98507320/,,public domain,2026-07-27,"unrestricted (US WPA poster, LOC: no known restrictions)",693,1024,36a602a73a0affdd4bfbf660ae22a108c9c2c8cf90f1b2d7d5386ec6a4c9433d,train,Library of Congress WPA posters collection
DS-0056,loc-98507361.jpg,retro-comic,"retro comic poster style skateboard decal artwork, brothers by herbert ashton jr",https://www.loc.gov/item/98507361/,,public domain,2026-07-27,"unrestricted (US WPA poster, LOC: no known restrictions)",704,1024,5e2b6ca338e3a1b3e834d95fe5c08169094d1161764ffd830298fe1dbc08e016,train,Library of Congress WPA posters collection
DS-0057,loc-98507364.jpg,retro-comic,"retro comic poster style skateboard decal artwork, chalk dust modern youthful comedy drama",https://www.loc.gov/item/98507364/,,public domain,2026-07-27,"unrestricted (US WPA poster, LOC: no known restrictions)",681,1024,3c40c6003968bc5b19b3df150455e0b581d91b7a2921f9c9aa0cc7874ea0cb35,train,Library of Congress WPA posters collection
DS-0058,loc-98507382.jpg,retro-comic,"retro comic poster style skateboard decal artwork, the devil passes by benn w levy",https://www.loc.gov/item/98507382/,,public domain,2026-07-27,"unrestricted (US WPA poster, LOC: no known restrictions)",1024,689,c0d01938dccc06993e031c4f6398e0b1281a382bdfc18427e90612063fb5cbec,train,Library of Congress WPA posters collection
DS-0059,loc-98516923.jpg,retro-comic,"retro comic poster style skateboard decal artwork, the amazing dr clitterhouse by barre lyndon",https://www.loc.gov/item/98516923/,,public domain,2026-07-27,"unrestricted (US WPA poster, LOC: no known restrictions)",682,1024,3704e4011880ae5a450e4454a881b8dccfb236caf4bc9101bd646ac0f0a59277,train,Library of Congress WPA posters collection
DS-0060,loc-98516929.jpg,retro-comic,"retro comic poster style skateboard decal artwork, charles c stewart s habit",https://www.loc.gov/item/98516929/,,public domain,2026-07-27,"unrestricted (US WPA poster, LOC: no known restrictions)",1024,702,70c1e65c3d5545f5308c54177327d5c0d98fe4f54336f90797a41a7492647a4d,train,Library of Congress WPA posters collection
DS-0061,loc-98516932.jpg,retro-comic,"retro comic poster style skateboard decal artwork, the federal theatre project presents day is darkness in 3",https://www.loc.gov/item/98516932/,,public domain,2026-07-27,"unrestricted (US WPA poster, LOC: no known restrictions)",690,1024,4d99e8dfd68e3b9769b61c4859096d69826fb02e4c8f441239bb85b9f0890276,train,Library of Congress WPA posters collection
DS-0062,loc-98516933.jpg,retro-comic,"retro comic poster style skateboard decal artwork, the federal theatre project presents day is darkness in 3",https://www.loc.gov/item/98516933/,,public domain,2026-07-27,"unrestricted (US WPA poster, LOC: no known restrictions)",674,1024,2c3df30696281c9fe7591389fe99d90498c7dd18977f525c844bc8c2fe007554,train,Library of Congress WPA posters collection
DS-0063,loc-98516938.jpg,retro-comic,"retro comic poster style skateboard decal artwork, counsellor at law gripping drama by elmer rice",https://www.loc.gov/item/98516938/,,public domain,2026-07-27,"unrestricted (US WPA poster, LOC: no known restrictions)",686,1024,64a9fe83db5e87bb7ec5411f8764bdff21357cbe1712afeabe3088a6dd66cd54,train,Library of Congress WPA posters collection
DS-0064,loc-98516941.jpg,retro-comic,"retro comic poster style skateboard decal artwork, charles dicken s immortal play the cricket on the hearth",https://www.loc.gov/item/98516941/,,public domain,2026-07-27,"unrestricted (US WPA poster, LOC: no known restrictions)",687,1024,703f17635661aa37e5083898746fade3f44a09552ba9843eb27d625243df01c4,train,Library of Congress WPA posters collection
DS-0065,loc-98516950.jpg,retro-comic,"retro comic poster style skateboard decal artwork, the amazing dr clitterhouse by barre lyndon",https://www.loc.gov/item/98516950/,,public domain,2026-07-27,"unrestricted (US WPA poster, LOC: no known restrictions)",686,1024,a03dcc3f0dd4833579228bdb7d62613a49f3d74ce2b131f0dc8240cc740523db,train,Library of Congress WPA posters collection
DS-0066,loc-98517001.jpg,retro-comic,"retro comic poster style skateboard decal artwork, carmen",https://www.loc.gov/item/98517001/,,public domain,2026-07-27,"unrestricted (US WPA poster, LOC: no known restrictions)",686,1024,bef6e89af4d4b7a6d90d3a2d9560b6ca77bfcc0e8646097dee1c6dc9d703e8e3,train,Library of Congress WPA posters collection
